-0.0249     0.01     0.0249
-0.02451     0.01     0.0249
-0.02401     0.01     0.0249
-0.02351     0.01     0.0249
-0.02301     0.01     0.0249
-0.02251     0.01     0.0249
-0.02201     0.01     0.0249
-0.02151     0.01     0.0249
-0.02101     0.01     0.0249
-0.02051     0.01     0.0249
-0.02001     0.01     0.0249
-0.01951     0.01     0.0249
-0.01901     0.01     0.0249
-0.01851     0.01     0.0249
-0.01801     0.01     0.0249
-0.01751     0.01     0.0249
-0.01701     0.01     0.0249
-0.01651     0.01     0.0249
-0.01601     0.01     0.0249
-0.01551     0.01     0.0249
-0.01501     0.01     0.0249
-0.01451     0.01     0.0249
-0.01401     0.01     0.0249
-0.01351     0.01     0.0249
-0.01301     0.01     0.0249
-0.01251     0.01     0.0249
-0.01201     0.01     0.0249
-0.01151     0.01     0.0249
-0.01101     0.01     0.0249
-0.01051     0.01     0.0249
-0.01001     0.01     0.0249
-0.00951     0.01     0.0249
-0.00901     0.01     0.0249
-0.00851     0.01     0.0249
-0.00801     0.01     0.0249
-0.00751     0.01     0.0249
-0.00701     0.01     0.0249
-0.00651     0.01     0.0249
-0.00601     0.01     0.0249
-0.00551     0.01     0.0249
-0.00501     0.01     0.0249
-0.00451     0.01     0.0249
-0.00401     0.01     0.0249
-0.00351     0.01     0.0249
-0.00301     0.01     0.0249
-0.00251     0.01     0.0249
-0.00201     0.01     0.0249
-0.00151     0.01     0.0249
-0.00101     0.01     0.0249
-0.00051     0.01     0.0249
0.00001     0.01     0.0249
0.00051     0.01     0.0249
0.00101     0.01     0.0249
0.00151     0.01     0.0249
0.00201     0.01     0.0249
0.00251     0.01     0.0249
0.00301     0.01     0.0249
0.00351     0.01     0.0249
0.00401     0.01     0.0249
0.00451     0.01     0.0249
0.00501     0.01     0.0249
0.00551     0.01     0.0249
0.00601     0.01     0.0249
0.00651     0.01     0.0249
0.00701     0.01     0.0249
0.00751     0.01     0.0249
0.00801     0.01     0.0249
0.00851     0.01     0.0249
0.00901     0.01     0.0249
0.00951     0.01     0.0249
0.01001     0.01     0.0249
0.01051     0.01     0.0249
0.01101     0.01     0.0249
0.01151     0.01     0.0249
0.01201     0.01     0.0249
0.01251     0.01     0.0249
0.01301     0.01     0.0249
0.01351     0.01     0.0249
0.01401     0.01     0.0249
0.01451     0.01     0.0249
0.01501     0.01     0.0249
0.01551     0.01     0.0249
0.01601     0.01     0.0249
0.01651     0.01     0.0249
0.01701     0.01     0.0249
0.01751     0.01     0.0249
0.01801     0.01     0.0249
0.01851     0.01     0.0249
0.01901     0.01     0.0249
0.01951     0.01     0.0249
0.02001     0.01     0.0249
0.02051     0.01     0.0249
0.02101     0.01     0.0249
0.02151     0.01     0.0249
0.02201     0.01     0.0249
0.02251     0.01     0.0249
0.02301     0.01     0.0249
0.02351     0.01     0.0249
0.02401     0.01     0.0249
0.02451     0.01     0.0249
0.02491     0.01     0.0249
